,State,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
0,Alabama,4,2,0,3,1,-1,-1,2,1,-1,-1,-1,-2,-2,0,-1,0,1,0,-2,-2,-1,0,0,-1,-1,0,1,3,5,7,9,11,12,9,10,14,14,13,14,15,9,9,14,17,14,16,16,11,12,16,18,17,18,20,10
1,Alaska,8,3,2,0,0,-1,-1,0,0,0,-1,-2,-2,-1,0,0,0,0,0,0,-1,0,2,2,2,2,2,1,1,5,8,10,11,11,8,7,15,16,18,17,18,11,10,18,18,18,19,19,12,9,17,18,18,18,19,10
2,Arizona,5,0,0,0,0,2,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,1,2,3,4,3,1,2,6,9,12,13,13,10,9,14,15,15,16,18,12,10,15,16,17,18,19,13,11,17,18,18,18,20,14
3,Arkansas,4,2,-1,0,-1,0,1,1,0,-1,-2,-3,-3,-2,-1,-2,-2,-2,-2,-2,-2,0,0,-1,-1,0,2,3,4,8,8,9,10,11,8,10,13,13,12,12,13,10,7,14,13,11,13,15,12,8,13,14,12,13,15,10
4,California,8,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,0,1,1,2,2,3,4,5,6,7,12,15,17,19,20,16,15,21,22,22,23,23,18,15,21,22,22,23,23,18,16,24,24,24,26,26,18
5,Colorado,5,3,2,1,-1,-1,2,0,1,0,-1,-2,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,5,5,5,9,13,16,22,20,13,11,16,18,19,22,24,17,13,19,20,21,24,24,16,12,19,21,21,22,23,14
6,Connecticut,6,3,0,0,1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,1,3,5,4,6,11,14,15,18,17,11,13,21,21,22,21,22,15,15,21,22,22,23,25,15,13,21,22,23,25,28,15
7,Delaware,4,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,1,3,3,5,8,11,13,14,14,10,11,17,19,21,19,20,16,12,18,20,19,20,22,15,12,18,20,20,21,25,14
8,Florida,3,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,0,0,0,0,0,1,2,2,4,7,9,11,12,13,11,11,15,17,17,18,20,14,13,18,19,18,19,22,16,15,20,20,20,21,23,15
9,Georgia,4,3,1,3,1,-1,-1,1,1,-1,-1,-2,-2,-2,-1,0,1,2,0,-2,-2,-1,0,0,0,1,1,2,5,8,11,12,13,12,9,11,17,18,17,18,17,12,11,17,20,18,19,20,15,13,19,21,20,21,22,13
10,Hawaii,11,1,1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,2,2,2,4,8,12,12,14,15,12,12,17,21,23,25,25,18,16,21,23,23,23,24,18,16,22,23,23,24,27,18
