,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,state
0,-1.0,1.0,4.0,2.0,0.0,3.0,0.0,-1.0,0.0,2.0,0.0,-1.0,-1.0,-1.0,-3.0,-2.0,0.0,-1.0,1.0,1.0,-1.0,-2.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,2.0,4.0,7.0,8.0,10.0,14.0,8.0,9.0,14.0,15.0,13.0,14.0,16.0,9.0,9.0,14.0,17.0,14.0,16.0,16.0,11.0,12.0,16.0,18.0,17.0,18.0,20.0,10.0,13.0,15.0,16.0,15.0,16.0,17.0,9.0,12.0,14.0,15.0,15.0,20.0,16.0,9.0,8.0,14.0,8.0,16.0,14.0,13.0,6.0,6.0,11.0,12.0,12.0,12.0,15.0,5.0,4.0,10.0,11.0,10.0,11.0,11.0,4.0,6.0,10.0,10.0,9.0,10.0,11.0,4.0,3.0,17.0,11.0,11.0,10.0,10.0,3.0,3.0,8.0,9.0,8.0,9.0,10.0,3.0,5.0,10.0,10.0,8.0,8.0,8.0,2.0,2.0,Alabama
1,0.0,-1.0,8.0,2.0,2.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-2.0,-2.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,4.0,7.0,9.0,10.0,12.0,8.0,6.0,14.0,16.0,18.0,17.0,19.0,11.0,10.0,18.0,18.0,18.0,19.0,20.0,12.0,9.0,17.0,18.0,18.0,18.0,19.0,10.0,9.0,17.0,18.0,17.0,17.0,18.0,9.0,7.0,15.0,17.0,16.0,16.0,16.0,7.0,5.0,13.0,5.0,14.0,14.0,13.0,5.0,4.0,12.0,12.0,12.0,12.0,12.0,3.0,1.0,11.0,11.0,10.0,10.0,9.0,2.0,0.0,10.0,10.0,10.0,10.0,9.0,1.0,1.0,15.0,9.0,8.0,7.0,7.0,1.0,1.0,7.0,8.0,7.0,7.0,6.0,0.0,-1.0,7.0,8.0,6.0,6.0,5.0,-1.0,-3.0,Alaska
2,0.0,-1.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-2.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,0.0,2.0,3.0,4.0,4.0,2.0,1.0,5.0,8.0,12.0,13.0,14.0,10.0,8.0,13.0,15.0,15.0,16.0,18.0,12.0,10.0,14.0,16.0,17.0,18.0,19.0,13.0,11.0,17.0,17.0,18.0,18.0,20.0,14.0,10.0,17.0,18.0,17.0,17.0,19.0,12.0,9.0,16.0,17.0,17.0,17.0,18.0,12.0,9.0,16.0,9.0,16.0,16.0,17.0,11.0,8.0,14.0,15.0,15.0,16.0,16.0,9.0,6.0,13.0,14.0,14.0,14.0,14.0,8.0,6.0,12.0,13.0,12.0,13.0,13.0,7.0,4.0,18.0,12.0,12.0,13.0,13.0,7.0,6.0,11.0,12.0,12.0,12.0,13.0,6.0,5.0,10.0,11.0,11.0,12.0,12.0,6.0,4.0,Arizona
3,0.0,-1.0,5.0,1.0,-1.0,0.0,-1.0,0.0,1.0,1.0,0.0,-2.0,-2.0,-3.0,-3.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,-1.0,-1.0,-1.0,2.0,4.0,3.0,7.0,8.0,8.0,10.0,11.0,8.0,9.0,13.0,14.0,12.0,12.0,13.0,10.0,7.0,14.0,13.0,11.0,13.0,15.0,12.0,8.0,13.0,14.0,12.0,13.0,15.0,10.0,10.0,12.0,13.0,11.0,11.0,14.0,7.0,9.0,12.0,11.0,15.0,12.0,13.0,7.0,5.0,12.0,6.0,11.0,10.0,10.0,4.0,5.0,11.0,10.0,9.0,10.0,11.0,3.0,2.0,10.0,12.0,9.0,9.0,11.0,6.0,5.0,8.0,8.0,7.0,8.0,9.0,3.0,2.0,18.0,9.0,8.0,9.0,8.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,10.0,8.0,6.0,6.0,6.0,1.0,1.0,Arkansas
4,0.0,-1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,4.0,5.0,6.0,6.0,11.0,14.0,17.0,18.0,21.0,16.0,14.0,21.0,22.0,22.0,23.0,24.0,18.0,15.0,21.0,22.0,22.0,23.0,23.0,18.0,16.0,24.0,24.0,24.0,26.0,26.0,18.0,16.0,22.0,22.0,22.0,23.0,24.0,17.0,14.0,21.0,21.0,22.0,22.0,23.0,15.0,13.0,20.0,13.0,21.0,21.0,21.0,14.0,12.0,19.0,19.0,20.0,20.0,20.0,12.0,9.0,18.0,19.0,19.0,19.0,19.0,12.0,11.0,18.0,18.0,18.0,18.0,18.0,10.0,8.0,22.0,16.0,17.0,17.0,17.0,11.0,9.0,17.0,17.0,16.0,16.0,16.0,9.0,8.0,14.0,15.0,15.0,15.0,14.0,7.0,6.0,California
5,0.0,0.0,5.0,3.0,2.0,0.0,-1.0,-1.0,2.0,0.0,1.0,-1.0,-1.0,-2.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0,1.0,5.0,5.0,4.0,7.0,13.0,14.0,22.0,21.0,13.0,10.0,16.0,18.0,19.0,22.0,25.0,17.0,13.0,19.0,20.0,21.0,24.0,25.0,16.0,12.0,19.0,21.0,21.0,22.0,23.0,14.0,15.0,23.0,23.0,21.0,27.0,23.0,15.0,12.0,18.0,21.0,20.0,21.0,21.0,13.0,10.0,17.0,11.0,18.0,19.0,18.0,12.0,8.0,16.0,17.0,17.0,17.0,17.0,9.0,6.0,16.0,16.0,16.0,17.0,16.0,9.0,6.0,13.0,15.0,15.0,14.0,13.0,7.0,7.0,19.0,13.0,14.0,13.0,13.0,7.0,5.0,11.0,13.0,12.0,12.0,11.0,7.0,3.0,10.0,14.0,11.0,11.0,10.0,5.0,2.0,Colorado
6,0.0,0.0,6.0,3.0,0.0,0.0,1.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,2.0,6.0,3.0,5.0,9.0,14.0,14.0,17.0,18.0,11.0,11.0,21.0,21.0,22.0,21.0,22.0,15.0,15.0,21.0,22.0,21.0,23.0,26.0,15.0,13.0,21.0,22.0,23.0,25.0,28.0,15.0,13.0,26.0,21.0,22.0,23.0,24.0,17.0,11.0,21.0,24.0,22.0,22.0,26.0,11.0,14.0,22.0,14.0,21.0,23.0,23.0,10.0,8.0,19.0,18.0,20.0,19.0,22.0,12.0,8.0,19.0,18.0,18.0,18.0,20.0,8.0,8.0,17.0,17.0,17.0,17.0,17.0,11.0,5.0,23.0,16.0,15.0,17.0,18.0,6.0,5.0,14.0,15.0,15.0,14.0,16.0,6.0,4.0,13.0,13.0,13.0,16.0,13.0,4.0,3.0,Connecticut
7,0.0,-1.0,4.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,3.0,2.0,3.0,7.0,11.0,12.0,14.0,15.0,11.0,10.0,17.0,18.0,21.0,18.0,20.0,16.0,12.0,17.0,20.0,19.0,20.0,22.0,15.0,12.0,18.0,20.0,20.0,21.0,25.0,14.0,12.0,23.0,20.0,20.0,20.0,22.0,15.0,11.0,19.0,20.0,19.0,21.0,24.0,11.0,13.0,19.0,13.0,18.0,21.0,20.0,10.0,9.0,16.0,17.0,19.0,17.0,20.0,11.0,7.0,17.0,17.0,17.0,15.0,17.0,8.0,8.0,16.0,16.0,16.0,16.0,19.0,9.0,7.0,21.0,14.0,14.0,16.0,17.0,7.0,5.0,12.0,13.0,13.0,13.0,14.0,5.0,3.0,11.0,11.0,12.0,14.0,11.0,3.0,3.0,Delaware
8,-1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,6.0,8.0,10.0,12.0,14.0,11.0,11.0,15.0,16.0,17.0,18.0,20.0,14.0,13.0,17.0,19.0,18.0,19.0,22.0,16.0,15.0,19.0,20.0,20.0,21.0,23.0,15.0,15.0,19.0,20.0,20.0,21.0,21.0,15.0,13.0,19.0,19.0,19.0,20.0,23.0,13.0,12.0,17.0,13.0,18.0,19.0,18.0,11.0,10.0,15.0,16.0,16.0,16.0,17.0,9.0,9.0,14.0,15.0,15.0,13.0,17.0,9.0,9.0,14.0,14.0,14.0,14.0,14.0,7.0,8.0,22.0,14.0,13.0,13.0,14.0,7.0,7.0,11.0,12.0,13.0,14.0,13.0,8.0,8.0,11.0,12.0,11.0,11.0,11.0,5.0,5.0,Florida
9,-1.0,1.0,4.0,3.0,1.0,4.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-2.0,-3.0,-2.0,0.0,0.0,1.0,2.0,-2.0,-2.0,-1.0,-1.0,1.0,0.0,0.0,1.0,2.0,3.0,7.0,11.0,12.0,13.0,13.0,9.0,10.0,16.0,18.0,17.0,18.0,18.0,12.0,11.0,16.0,20.0,18.0,19.0,20.0,16.0,13.0,19.0,21.0,20.0,21.0,22.0,13.0,14.0,18.0,19.0,18.0,20.0,19.0,12.0,14.0,18.0,19.0,18.0,23.0,18.0,11.0,10.0,16.0,12.0,18.0,18.0,15.0,8.0,8.0,14.0,15.0,15.0,16.0,16.0,7.0,5.0,14.0,15.0,14.0,15.0,13.0,7.0,6.0,14.0,14.0,15.0,14.0,13.0,5.0,5.0,20.0,14.0,14.0,14.0,13.0,5.0,5.0,10.0,12.0,11.0,12.0,12.0,5.0,5.0,11.0,12.0,12.0,11.0,10.0,3.0,4.0,Georgia
