date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,countryName,stateName,countyName,intervention,fips,lat,long,lastUpdatedDate
2020-03-07,0,1610,0,106,0,197,nan,nan,0,0,16,731509,19,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-08,0,1610,0,106,0,197,nan,nan,0,8,21,731495,24,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-09,0,1610,0,106,0,197,nan,nan,0,20,27,731475,32,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-10,0,1610,0,106,0,197,nan,nan,0,35,36,731450,42,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-11,0,1610,0,106,0,197,nan,nan,0,55,47,731418,55,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-12,0,1610,0,106,0,197,nan,nan,0,81,62,731375,72,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-13,0,1610,0,106,0,197,1.7564633244,1.0806659537,0,114,81,731319,94,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-14,0,1610,0,106,0,197,1.7488800998,0.9500644801,0,158,106,731246,123,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-15,0,1610,0,106,0,197,1.7383372883,0.8607318846,0,216,139,731151,160,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-16,0,1610,0,106,0,197,1.7238964359,0.8360330862,0,291,181,731026,210,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-17,0,1610,0,106,0,197,1.7060210319,0.7892317466000001,0,390,237,730864,274,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-18,0,1610,0,106,0,197,1.6841567853,0.7551288921,0,517,309,730655,355,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-19,0,1610,0,106,0,197,1.6580407512000002,0.7222534229,0,681,400,730396,451,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-20,0,1610,0,106,0,197,1.6275372082000001,0.6848710158,0,886,512,730084,558,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-21,0,1610,0,106,0,197,1.5928661534000002,0.6371446602,0,1138,646,729712,678,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-22,0,1610,0,106,0,197,1.5544778474,0.6135853935000001,0,1441,801,729278,809,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-23,0,1610,0,106,0,197,1.5125058282000001,0.5910606556,0,1799,978,728782,947,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-24,0,1610,0,106,0,197,1.4679173554,0.5577442175,0,2213,1173,728229,1085,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-25,0,1610,0,106,0,197,1.42137273,0.5365394774,0,2683,1382,727625,1219,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-26,0,1610,0,106,0,197,1.3729264503,0.5216572002000001,0,3204,1599,726986,1337,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-27,0,1610,0,106,0,197,1.3223350249,0.5016206706,0,3770,1816,726324,1433,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-28,0,1610,0,106,0,197,1.272954274,0.48123464930000004,0,4369,2022,725662,1497,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-29,0,1610,0,106,0,197,1.2244005626,0.4779303904,0,4985,2207,725023,1519,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-30,0,1610,0,106,0,197,1.1784485723,0.4681015767,0,5594,2353,724437,1497,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-03-31,0,1610,0,106,0,197,1.1351802136,0.4632715678,0,6201,2464,723901,1426,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-01,0,1610,0,106,0,197,1.0948105159,0.4633782903,0,6763,2516,723435,1330,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-02,0,1610,0,106,0,197,1.0575552452,0.45681245260000003,0,7292,2529,722970,1265,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-03,0,1610,0,106,0,197,1.02311324,0.466755003,0,7798,2520,722506,1223,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-04,0,1610,0,106,0,197,0.9905505695000001,0.45883452830000004,0,8291,2499,722045,1192,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-05,0,1610,0,106,0,197,0.9595623444,0.4677800583,0,8772,2473,721588,1168,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-06,0,1610,0,106,0,197,0.9302243319,0.46470220760000003,0,9244,2443,721136,1147,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-07,0,1610,0,106,0,197,0.901913845,0.4671012385,0,9708,2411,720690,1129,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-08,0,1610,0,106,0,197,0.8743308545,0.4692902594,0,10165,2379,720251,1112,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-09,0,1610,0,106,0,197,0.8471437814,0.47136498860000003,0,10615,2346,719817,1095,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-10,0,1610,0,106,0,197,0.8207562417,0.46743540990000004,0,11059,2313,719389,1079,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-11,0,1610,0,106,0,197,0.7946800618000001,0.4691894519,0,11496,2281,718968,1064,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-12,0,1610,0,106,0,197,0.7695706423,0.4706644143,0,11927,2249,718552,1048,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-13,0,1610,0,106,0,197,0.7456714277000001,0.4717900206,0,12351,2217,718143,1033,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-14,0,1610,0,106,0,197,0.7236014875,0.47816106350000004,0,12770,2186,717739,1018,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-15,0,1610,0,106,0,197,0.7035704675000001,0.48394352100000004,0,13182,2155,717342,1004,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-16,0,1610,0,106,0,197,0.6861410889,0.49474845180000004,0,13589,2124,716950,989,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-17,0,1610,0,106,0,197,0.6721426410000001,0.4987894557,0,13989,2094,716564,974,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-18,0,1610,0,106,0,197,0.6613402647000001,0.5134548385000001,0,14384,2064,716183,960,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-19,0,1610,0,106,0,197,0.6541316451,0.5386297985,0,14773,2034,715809,946,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-20,0,1610,0,106,0,197,0.6503989321,0.557027848,0,15156,2005,715440,932,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-21,0,1610,0,106,0,197,0.6499896620000001,0.5802400049,0,15534,1976,715076,918,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-22,0,1610,0,106,0,197,0.6524536426,0.6083962284000001,0,15905,1947,714718,904,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-23,0,1610,0,106,0,197,0.6579452716,0.6356784451,0,16272,1918,714365,891,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-24,0,1610,0,106,0,197,0.6657130332,0.6623035989,0,16632,1890,714018,878,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-25,0,1610,0,106,0,197,0.6748111075000001,0.6885447246,0,16988,1862,713675,864,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-26,0,1610,0,106,0,197,0.6848805116000001,0.7087319487,0,17338,1834,713338,851,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-27,0,1610,0,106,0,197,0.6952644206,0.7230548805,0,17682,1807,713006,839,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-28,0,1610,0,106,0,197,0.7055547632,0.7374048225000001,0,18022,1780,712680,826,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-29,0,1610,0,106,0,197,0.7151363,0.7461858765,0,18356,1753,712358,813,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-04-30,0,1610,0,106,0,197,0.7238350020000001,0.7494482802,0,18686,1727,712041,801,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-01,0,1610,0,106,0,197,0.7315491581,0.7414478925,0,19010,1701,711729,788,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-02,0,1610,0,106,0,197,0.7382515148000001,0.7395130887,0,19329,1675,711422,776,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-03,0,1610,0,106,0,197,0.7440436161,0.7378410532,0,19643,1650,711120,764,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-04,0,1610,0,106,0,197,0.7492530386,0.7305637197,0,19953,1625,710822,752,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-05,0,1610,0,106,0,197,0.7541389864,0.7349267708,0,20257,1600,710529,741,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-06,0,1610,0,106,0,197,0.758975229,0.7393041705000001,0,20557,1575,710241,729,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-07,0,1610,0,106,0,197,0.7645608103,0.7492387574,0,20853,1551,709957,718,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-08,0,1610,0,106,0,197,0.7713955401,0.7588127463000001,0,21143,1527,709678,706,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-09,0,1610,0,106,0,197,0.7797359578,0.7737255831000001,0,21429,1503,709403,695,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-10,0,1610,0,106,0,197,0.7911927076,0.7877388124,0,21711,1480,709132,684,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-11,0,1610,0,106,0,197,0.8055319040000001,0.7835994429,0,21988,1457,708866,674,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-12,0,1610,0,106,0,197,0.8235538726,0.8072644622,0,22261,1434,708604,663,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-13,0,1610,0,106,0,197,0.8460380906,0.8180943356,0,22529,1412,708346,652,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-14,0,1610,0,106,0,197,0.8732143711,0.8275697273,0,22793,1389,708093,642,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-15,0,1610,0,106,0,197,0.9051933472,0.818338192,0,23053,1368,707843,632,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-16,0,1610,0,106,0,197,0.9413747777,0.8136670154000001,0,23310,1347,707592,626,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-17,0,1610,0,106,0,197,0.9813726173,0.8021206337,0,23565,1329,707338,624,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-18,0,1610,0,106,0,197,1.024626624,0.7896342775,0,23820,1314,707080,627,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-19,0,1610,0,106,0,197,1.070363026,0.7937518235000001,0,24077,1304,706816,634,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-20,0,1610,0,106,0,197,1.118020957,0.7857676666000001,0,24338,1298,706547,643,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-21,0,1610,0,106,0,197,1.1662024492,0.7660853652,0,24603,1298,706271,654,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-22,0,1610,0,106,0,197,1.2136334968,0.7812607146,0,24872,1302,705987,668,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-23,0,1610,0,106,0,197,1.2591446227,0.7565757788,0,25148,1311,705694,685,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-24,0,1610,0,106,0,197,1.3010193704,0.7444875804000001,0,25432,1325,705391,704,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-25,0,1610,0,106,0,197,1.3378278871,0.7280883742,0,25724,1344,705077,727,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-26,0,1610,0,106,0,197,1.3679920929,0.7078337126,0,26026,1369,704750,752,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-27,0,1610,0,106,0,197,1.3909875992,0.6781014710000001,0,26339,1399,704408,781,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-28,0,1610,0,106,0,197,1.4063163540999999,0.6332619217000001,0,26664,1435,704050,813,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-29,0,1610,0,106,0,197,1.4134592715,0.5907854202,0,27003,1476,703675,849,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-30,0,1610,0,106,0,197,1.4127549052,0.5563477371000001,0,27357,1524,703285,886,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-05-31,0,1610,0,106,0,197,1.404399825,0.5125716195,0,27726,1576,702882,920,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-06-01,0,1610,0,106,0,197,1.3885742276,0.4824990598,0,28108,1631,702465,955,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-06-02,0,1610,0,106,0,197,1.3669027741,0.4483405507,0,28504,1688,702034,989,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-06-03,0,1610,0,106,0,197,1.3404156085,0.4271192234,0,28915,1748,701588,1024,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-06-04,0,1610,0,106,0,197,1.3099399473,0.4128227782,0,29340,1810,701127,1060,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
2020-06-05,0,1610,0,106,0,197,1.2776468263,0.3875039831,0,29780,1873,700649,1098,US,Alaska,,STRONG_INTERVENTION,02,,,2020-07-08
